;;População Estimada - DATASUS
;;Total
Município/Estado;Região a que Pertence;2024
Estado do Paraná;-;11824665
Abatiá;RGI de Santo Antônio da Platina;7271
Adrianópolis;RGI de Curitiba;6327
Agudos do Sul;RGI de Curitiba;10646
Almirante Tamandaré;RGI de Curitiba;124788
Altamira do Paraná;RGI de Campo Mourão;3543
Alto Paraíso;RGI de Umuarama;3077
Alto Paraná;RGI de Paranavaí;14138
Alto Piquiri;RGI de Umuarama;9802
Altônia;RGI de Umuarama;18750
Alvorada do Sul;RGI de Londrina;10478
Amaporã;RGI de Paranavaí;4736
Ampére;RGI de Francisco Beltrão;20199
Anahy;RGI de Cascavel;2965
Andirá;RGI de Santo Antônio da Platina;20044
Ângulo;RGI de Maringá;3332
Antonina;RGI de Paranaguá;18223
Antônio Olinto;RGI de União da Vitória;7071
Apucarana;RGI de Apucarana;134306
Arapongas;RGI de Londrina;123863
Arapoti;RGI de Ponta Grossa;26310
Arapuã;RGI de Ivaiporã;3573
Araruna;RGI de Campo Mourão;14824
Araucária;RGI de Curitiba;160038
Ariranha do Ivaí;RGI de Ivaiporã;2351
Assaí;RGI de Londrina;13643
Assis Chateaubriand;RGI de Toledo;38105
Astorga;RGI de Maringá;26145
Atalaia;RGI de Maringá;4045
Balsa Nova;RGI de Curitiba;13871
Bandeirantes;RGI de Cornélio Procópio - Bandeirantes;31807
Barbosa Ferraz;RGI de Campo Mourão;10692
Barra do Jacaré;RGI de Santo Antônio da Platina;2866
Barracão;RGI de Francisco Beltrão;9900
Bela Vista da Caroba;RGI de Francisco Beltrão;4100
Bela Vista do Paraíso;RGI de Londrina;14998
Bituruna;RGI de União da Vitória;15689
Boa Esperança;RGI de Campo Mourão;4622
Boa Esperança do Iguaçu;RGI de Dois Vizinhos;2448
Boa Ventura de São Roque;RGI de Pitanga;6244
Boa Vista da Aparecida;RGI de Cascavel;8034
Bocaiúva do Sul;RGI de Curitiba;13804
Bom Jesus do Sul;RGI de Francisco Beltrão;4061
Bom Sucesso;RGI de Apucarana;6677
Bom Sucesso do Sul;RGI de Pato Branco;3234
Borrazópolis;RGI de Apucarana;7824
Braganey;RGI de Cascavel;4802
Brasilândia do Sul;RGI de Umuarama;3828
Cafeara;RGI de Londrina;2655
Cafelândia;RGI de Cascavel;19844
Cafezal do Sul;RGI de Umuarama;4561
Califórnia;RGI de Apucarana;8921
Cambará;RGI de Santo Antônio da Platina;23430
Cambé;RGI de Londrina;111009
Cambira;RGI de Apucarana;9899
Campina da Lagoa;RGI de Campo Mourão;15979
Campina do Simão;RGI de Guarapuava;3973
Campina Grande do Sul;RGI de Curitiba;49971
Campo Bonito;RGI de Cascavel;4032
Campo do Tenente;RGI de Curitiba;7666
Campo Largo;RGI de Curitiba;142695
Campo Magro;RGI de Curitiba;31555
Campo Mourão;RGI de Campo Mourão;103340
Cândido de Abreu;RGI de Ivaiporã;15255
Candói;RGI de Guarapuava;15174
Cantagalo;RGI de Guarapuava;10799
Capanema;RGI de Francisco Beltrão;21022
Capitão Leônidas Marques;RGI de Cascavel;14796
Carambeí;RGI de Ponta Grossa;24159
Carlópolis;RGI de Santo Antônio da Platina;17567
Cascavel;RGI de Cascavel;364104
Castro;RGI de Ponta Grossa;75291
Catanduvas;RGI de Cascavel;10627
Centenário do Sul;RGI de Londrina;10936
Cerro Azul;RGI de Curitiba;16240
Céu Azul;RGI de Cascavel;11251
Chopinzinho;RGI de Pato Branco;21559
Cianorte;RGI de Cianorte;82359
Cidade Gaúcha;RGI de Umuarama;11684
Clevelândia;RGI de Pato Branco;14975
Colombo;RGI de Curitiba;240720
Colorado;RGI de Paranacity - Colorado;23278
Congonhinhas;RGI de Cornélio Procópio - Bandeirantes;8442
Conselheiro Mairinck;RGI de Ibaiti;3486
Contenda;RGI de Curitiba;19827
Corbélia;RGI de Cascavel;17862
Cornélio Procópio;RGI de Cornélio Procópio - Bandeirantes;45830
Coronel Domingos Soares;RGI de Pato Branco;5516
Coronel Vivida;RGI de Pato Branco;23859
Corumbataí do Sul;RGI de Campo Mourão;3780
Cruz Machado;RGI de União da Vitória;15910
Cruzeiro do Iguaçu;RGI de Dois Vizinhos;4171
Cruzeiro do Oeste;RGI de Umuarama;24622
Cruzeiro do Sul;RGI de Paranacity - Colorado;4547
Cruzmaltina;RGI de Ivaiporã;2896
Curitiba;RGI de Curitiba;1829225
Curiúva;RGI de Telêmaco Borba;13802
Diamante D'Oeste;RGI de Cascavel;4557
Diamante do Norte;RGI de Paranavaí;5164
Diamante do Sul;RGI de Cascavel;3170
Dois Vizinhos;RGI de Dois Vizinhos;47014
Douradina;RGI de Umuarama;9525
Doutor Camargo;RGI de Maringá;6484
Doutor Ulysses;RGI de Curitiba;5773
Enéas Marques;RGI de Francisco Beltrão;6070
Engenheiro Beltrão;RGI de Campo Mourão;12431
Entre Rios do Oeste;RGI de Marechal Cândido Rondon;4729
Esperança Nova;RGI de Umuarama;1858
Espigão Alto do Iguaçu;RGI de Laranjeiras do Sul - Quedas do Iguaçu;4881
Farol;RGI de Campo Mourão;3023
Faxinal;RGI de Ivaiporã;16618
Fazenda Rio Grande;RGI de Curitiba;161506
Fênix;RGI de Campo Mourão;4512
Fernandes Pinheiro;RGI de Irati;6387
Figueira;RGI de Ibaiti;8144
Flor da Serra do Sul;RGI de Francisco Beltrão;4367
Floraí;RGI de Maringá;4825
Floresta;RGI de Maringá;11226
Florestópolis;RGI de Londrina;11639
Flórida;RGI de Maringá;2704
Formosa do Oeste;RGI de Toledo;7756
Foz do Iguaçu;RGI de Foz do Iguaçu;295500
Foz do Jordão;RGI de Guarapuava;4925
Francisco Alves;RGI de Umuarama;8464
Francisco Beltrão;RGI de Francisco Beltrão;101302
General Carneiro;RGI de União da Vitória;10861
Godoy Moreira;RGI de Ivaiporã;2970
Goioerê;RGI de Campo Mourão;28970
Goioxim;RGI de Guarapuava;6531
Grandes Rios;RGI de Ivaiporã;5586
Guaíra;RGI de Toledo;32966
Guairaçá;RGI de Paranavaí;6733
Guamiranga;RGI de Guarapuava;7961
Guapirama;RGI de Santo Antônio da Platina;4792
Guaporema;RGI de Cianorte;2217
Guaraci;RGI de Londrina;4762
Guaraniaçu;RGI de Cascavel;13814
Guarapuava;RGI de Guarapuava;188710
Guaraqueçaba;RGI de Paranaguá;7474
Guaratuba;RGI de Paranaguá;44323
Honório Serpa;RGI de Pato Branco;4872
Ibaiti;RGI de Ibaiti;29440
Ibema;RGI de Cascavel;6327
Ibiporã;RGI de Londrina;53054
Icaraíma;RGI de Umuarama;9139
Iguaraçu;RGI de Maringá;5599
Iguatu;RGI de Cascavel;2162
Imbaú;RGI de Telêmaco Borba;14815
Imbituva;RGI de Irati;30757
Inácio Martins;RGI de Guarapuava;9633
Inajá;RGI de Paranacity - Colorado;2510
Indianópolis;RGI de Cianorte;4531
Ipiranga;RGI de Ponta Grossa;14338
Iporã;RGI de Umuarama;16062
Iracema do Oeste;RGI de Toledo;2344
Irati;RGI de Irati;60796
Iretama;RGI de Campo Mourão;10843
Itaguajé;RGI de Paranacity - Colorado;4532
Itaipulândia;RGI de Foz do Iguaçu;11984
Itambaracá;RGI de Cornélio Procópio - Bandeirantes;5874
Itambé;RGI de Maringá;6215
Itapejara d'Oeste;RGI de Pato Branco;12766
Itaperuçu;RGI de Curitiba;32890
Itaúna do Sul;RGI de Paranavaí;3620
Ivaí;RGI de Ponta Grossa;13473
Ivaiporã;RGI de Ivaiporã;33529
Ivaté;RGI de Umuarama;6833
Ivatuba;RGI de Maringá;2705
Jaboti;RGI de Ibaiti;5576
Jacarezinho;RGI de Santo Antônio da Platina;41400
Jaguapitã;RGI de Londrina;15719
Jaguariaíva;RGI de Ponta Grossa;36231
Jandaia do Sul;RGI de Apucarana;21851
Janiópolis;RGI de Campo Mourão;5835
Japira;RGI de Ibaiti;5060
Japurá;RGI de Cianorte;9354
Jardim Alegre;RGI de Ivaiporã;12130
Jardim Olinda;RGI de Paranacity - Colorado;1353
Jataizinho;RGI de Londrina;11971
